name,controlDifficulty,senseDifficulty,alterDifficulty,requiredPowers,canKeepUp,keptUp,darkSideWarning,timeToUse,effect
Absorb/Dissipate Energy,15,0,0,None,true,false,false,1,"Jedi absorbs or dissipates energy including light, heat, radiation, and blaster bolts. Successful control roll dissipates energy; failure means full damage taken."
Accelerate Healing,10,0,0,None,false,false,false,10,"Jedi makes two natural healing rolls for current day regardless of injury severity, with +2 to both Strength rolls to heal."
Concentration,10,0,0,None,false,false,false,0,"Jedi clears negative thoughts and gains +4D to any one action that round; may do nothing else except use concentration and that one skill."
Control Disease,15,0,0,Accelerate Healing,false,false,false,300,"Jedi directs her body's immune response to fight disease. Requires half-hour meditation per use; repeated rolls needed for long-standing illness."
Control Pain,5,0,0,None,true,false,false,1,"Wounded Jedi acts as if uninjured, ignoring wound penalties. If injured again while power is up, a new control roll is required at the new difficulty."
Detoxify Poison,15,0,0,None,false,false,false,50,"Jedi detoxifies or ejects poisons from her body. Successful roll means poison has no effect."
Emptiness,15,0,0,Hibernation Trance,false,false,false,1,"Jedi empties her mind and becomes oblivious to surroundings; cannot move or act except to disengage. Gains +6 bonus to Force rolls afterward, reduced by -1 per Dark Side Point."
Hibernation Trance,20,0,0,None,true,false,false,1,"Jedi enters deep trance slowing all body functions, appears dead. Can heal while in trance but cannot act."
Reduce Injury,15,0,0,Control Pain,false,false,false,1,"Reduces severity of injury suffered in current or immediately following round to wounded; costs a Force Point."
Remain Conscious,10,0,0,Control Pain,false,false,false,1,"Jedi remains conscious after suffering normally incapacitating injuries; can perform one other action that round."
Resist Stun,15,0,0,None,true,false,false,10,"Prepares body to resist stun damage; must activate before damage is suffered. Keeps character from being knocked unconscious by stun results."
Life Detection,0,5,0,None,true,false,false,1,"Detects presence and location of all living sentient beings within 10 meters; kept up extends to approach/departure awareness."
Life Sense,0,5,0,Life Detection,true,false,false,1,"Senses presence, identity, and physical condition of a specific known person. Target may resist with control skill."
Magnify Senses,0,5,0,None,false,false,false,30,"Enhances natural senses to perceive things normally impossible without aids: distant sounds, faint scents, far visual details."
Receptive Telepathy,0,5,0,Life Detection|Life Sense,true,false,false,1,"Reads surface thoughts and emotions of target. If sense roll doubles difficulty, can sift memories up to 24 hours old."
Postcognition,0,20,0,Hibernation Trance|Life Detection|Sense Force,false,false,false,50,"Investigates Force imprints on objects to determine who handled them and what events transpired. Clarity of impression depends on how much roll exceeds difficulty."
Sense Force,0,20,0,None,false,false,false,1,"Senses ambient Force within an area: strength, light/dark side tendency, type and quantity of life. Cannot detect specific sentient beings."
Injure/Kill,0,0,0,Life Detection|Life Sense,false,false,true,1,"Attacker touches target and makes alter roll vs target's control or Perception; on success deals damage as if brawling attack with Strength resist roll."
Telekinesis,0,0,20,None,true,false,false,1,"Levitates and moves objects up to 100 metric tons with the mind. Each additional object requires a new roll. Using to attack others costs a Dark Side Point."
Lightsaber Combat,15,10,0,None,true,false,false,1,"Jedi wields lightsaber sensing opponents through the Force, adding sense dice to attack and subtracting or adding control dice to damage."
Projective Telepathy,5,5,0,Life Detection|Life Sense|Receptive Telepathy,true,false,false,1,"Broadcasts feelings and emotions to a target; target hears thoughts and feels emotions but Jedi cannot send full sentences or control target's mind."
Accelerate Another's Healing,5,0,5,Control Another's Pain|Control Pain,false,false,false,10,"Allows target to make extra healing rolls as per accelerate healing; Jedi must be touching the character."
Control Another's Disease,5,0,15,Accelerate Healing|Control Disease,false,false,false,300,"Heals another character's disease using same rules as control disease; Jedi must be touching the character."
Control Another's Pain,5,0,10,Control Pain,false,false,false,1,"Allows another character to ignore wound penalties as per control pain; Jedi must be touching the character."
Place Another in Hibernation Trance,5,0,5,Hibernation Trance,false,false,false,50,"Places willing, touching character into hibernation trance. Can also be used to bring a character out of trance."
Return Another to Consciousness,10,0,10,Remain Conscious|Control Pain,false,false,false,1,"Restores consciousness to incapacitated or mortally wounded character; Jedi must be touching the target."
Transfer Force,10,0,15,Control Another's Pain|Control Pain,false,false,false,10,"Transfers Jedi's life force to save a mortally wounded character from dying; costs a Force Point. Recipient must be willing and touched."
Affect Mind,10,0,15,None,false,false,false,1,"Alters target's perceptions, memories, or conclusions. Target believes illusions are real. Cannot affect droids. One target per use unless power used multiple times."
